Method,Training_Size,Accuracy,F1-Score,Sensitivity,Specificity
PCA+XGBoost-20%,20%,0.7404,0.8262,0.9872,0.3291
PCA+XGBoost-40%,40%,0.758,0.8353,0.9821,0.3846
PCA+XGBoost-60%,60%,0.7564,0.8351,0.9872,0.3718
PCA+XGBoost-80%,80%,0.7548,0.8332,0.9795,0.3803
VGG16+XGBoost-20%,20%,0.7404,0.8258,0.9846,0.3333
VGG16+XGBoost-40%,40%,0.7436,0.8283,0.9897,0.3333
VGG16+XGBoost-60%,60%,0.7628,0.8398,0.9949,0.3761
VGG16+XGBoost-80%,80%,0.766,0.842,0.9974,0.3803
Raw+XGBoost-20%,20%,0.7179,0.8128,0.9795,0.2821
Raw+XGBoost-40%,40%,0.7147,0.8126,0.9897,0.2564
Raw+XGBoost-60%,60%,0.7292,0.82,0.9872,0.2991
Raw+XGBoost-80%,80%,0.7356,0.8239,0.9897,0.312
